yearmonth,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
2000-02-01,6.85,-7.16,-8.65,-11.65,-4.0,0.42,-3.32,-0.26,-11.67,-10.58,-16.55,6.57,-3.39,-7.4,6.06,-5.99,-7.78,2.02,7.23,0.76,9.16,-0.78,-8.28,-7.26,-5.77,-5.98,5.69,-8.77,-3.45,-5.6,-7.16,-4.1,-8.47,1.63,22.33,9.64,26.79,21.33,-11.75,-12.78,-5.35,1.68,-4.16,-12.05,-11.3,-13.09,2.03,6.73,-1.4
2000-03-01,4.35,10.37,-0.39,0.14,5.15,7.83,11.14,12.65,-14.77,24.99,18.43,0.72,-0.56,12.45,-5.18,5.12,11.85,14.73,3.43,6.08,5.53,17.09,9.72,9.94,12.84,12.33,-1.64,8.54,-7.23,13.48,5.94,7.67,10.54,-0.21,6.53,2.91,4.4,1.21,8.45,12.76,12.76,6.98,14.41,16.06,15.05,23.34,4.25,14.91,-2.01
2000-04-01,-5.83,-5.08,-0.61,3.69,3.83,0.13,4.42,-7.69,4.71,3.67,8.3,1.07,5.76,-3.84,1.79,6.44,1.34,1.39,-0.8,-3.21,5.33,0.57,11.6,4.36,13.39,18.86,1.86,-6.81,-15.36,-0.89,7.48,-7.62,0.68,-4.57,-6.34,-18.91,-4.97,-3.64,-0.99,-8.26,3.47,-3.11,-5.49,3.74,-2.84,-0.04,-3.45,-11.21,8.81
2000-05-01,-1.11,17.38,-7.24,11.89,19.52,1.13,1.35,-6.52,2.91,-5.28,-6.78,-1.0,5.14,0.06,-4.8,-3.98,-7.71,-4.06,-4.84,-9.54,-10.47,0.38,-14.91,-0.85,0.69,-0.02,2.05,1.11,-12.77,10.98,3.97,-10.76,-6.98,-2.71,-14.69,-10.11,-9.16,-8.72,-1.56,-2.39,-3.67,1.37,-3.13,-4.25,7.96,6.26,-2.42,-6.61,10.41
2000-06-01,0.22,1.77,1.24,6.06,2.98,-1.69,-0.98,-0.22,-2.92,-7.74,10.4,0.79,13.18,-6.37,2.78,-8.94,-1.76,-0.4,16.01,-0.75,1.41,0.76,-11.92,-10.11,-8.51,-4.26,-3.08,-7.09,14.81,-6.16,-4.72,4.04,1.0,3.04,18.02,13.46,8.54,10.6,-6.25,-3.12,-1.86,-2.45,-1.96,-3.96,-9.89,-2.78,-1.44,14.48,3.02
2000-07-01,-4.38,-1.76,13.35,6.58,-4.48,-9.9,-1.15,-1.52,-2.38,5.56,11.58,1.18,-8.08,0.86,0.76,4.71,-2.93,-2.25,-6.2,6.56,-6.47,-0.35,4.92,7.1,7.63,11.94,-19.1,-0.19,11.38,-2.6,4.21,-7.46,3.99,-2.61,1.02,-9.12,-5.4,-11.8,4.76,-0.31,9.69,4.29,-1.98,-2.0,8.36,9.43,3.05,8.43,-1.61
2000-08-01,-0.84,-2.98,-2.2,-10.94,19.12,1.98,5.67,2.33,3.85,3.04,6.72,6.8,2.86,2.67,0.83,-3.71,3.41,14.58,25.05,19.12,8.98,6.9,5.93,10.27,10.02,1.45,3.89,4.57,17.76,8.72,11.76,-1.39,11.85,2.32,13.34,12.41,12.39,18.28,2.11,1.61,-2.83,10.32,-5.29,-0.71,10.22,4.27,-0.06,18.6,13.7
2000-09-01,4.45,6.03,-9.92,5.46,0.88,0.2,-9.47,0.42,-1.47,-0.64,10.48,-1.55,4.14,-3.49,-10.74,5.91,-3.8,-2.52,-12.27,-12.33,-16.54,-10.77,-5.23,8.43,0.92,15.13,-7.9,-6.58,-13.73,4.57,9.16,-3.35,-2.34,-2.97,-12.35,-9.74,-24.17,-8.85,-5.42,-12.13,-2.87,3.6,2.45,1.63,3.81,7.48,-1.49,-7.54,-1.22
2000-10-01,-10.33,6.57,13.42,9.0,22.87,6.83,-4.31,-2.13,9.55,3.85,6.31,-1.22,2.31,2.58,-13.24,-2.79,6.83,3.98,-12.15,-3.6,-4.8,-10.71,2.96,14.31,12.81,8.45,-20.31,3.46,7.16,-2.93,-1.81,-0.24,-4.78,-0.36,-5.63,-8.94,-7.63,-5.81,11.57,0.75,8.05,-2.96,-2.09,4.28,-1.12,4.12,0.24,-5.58,-5.36
2000-11-01,-1.0,3.7,15.5,4.18,4.14,-6.65,-13.31,-5.93,0.25,4.23,5.0,-0.47,0.68,0.94,0.08,-0.83,-3.51,0.58,-15.68,-3.48,-10.25,-9.58,-13.42,-1.53,6.13,-3.91,16.56,0.88,9.24,-2.56,3.06,-15.46,-5.2,-6.54,-23.9,-22.89,-25.38,-14.8,1.29,-14.62,1.43,-6.79,-0.23,5.1,-3.52,-0.57,1.82,-18.95,-8.39
2000-12-01,11.78,6.28,-4.96,-2.59,17.02,2.56,1.25,10.87,3.05,14.55,11.99,5.44,2.82,10.12,13.96,5.9,12.55,11.38,1.94,-8.74,9.56,6.15,-0.08,-0.31,2.25,0.81,1.6,6.97,44.04,7.56,6.6,-4.57,13.05,-0.2,-14.4,-8.59,-3.95,12.83,10.93,18.85,4.1,12.73,4.33,2.42,9.95,6.79,3.64,16.99,-1.24
2001-01-01,5.22,-5.2,2.23,-4.72,0.09,9.82,16.0,2.31,-3.7,3.34,-13.61,-4.33,-8.75,-4.71,11.83,13.46,-2.45,3.33,6.15,10.83,11.35,3.41,15.03,-5.59,-6.84,2.54,-1.23,2.56,-2.48,-3.38,-10.77,14.38,7.21,3.38,10.03,21.49,17.81,3.79,-4.99,7.06,5.87,-1.72,9.75,-3.79,1.93,-9.72,3.82,8.9,-3.83
2001-02-01,-4.95,1.05,7.33,-6.32,9.48,4.98,-7.83,0.0,-1.16,-10.99,6.17,-0.09,-0.99,-2.07,-1.7,-2.52,0.92,-0.93,-23.84,-6.88,-9.47,-14.34,-0.6,4.2,-2.77,8.94,10.47,-0.95,23.09,-0.06,6.16,-9.85,1.83,-5.25,-33.92,-19.08,-31.8,-19.67,3.08,-5.72,-5.26,-4.91,-6.17,-0.06,-4.57,-0.31,1.96,-15.58,1.22
2001-03-01,2.51,-3.08,-13.42,-9.47,-0.11,-0.85,-9.43,-6.52,-8.95,-1.1,-5.9,-6.06,-9.06,-4.56,1.29,-4.33,-3.61,4.57,-8.38,2.45,-1.89,-11.9,-2.05,-9.49,-7.82,-4.06,-5.31,-1.1,18.9,-0.24,1.24,-5.79,-4.4,-10.19,-18.73,-14.42,-8.96,-17.87,-6.09,-3.69,-2.26,-6.12,-2.01,-5.01,-1.76,-1.73,-1.57,-12.89,-8.03
2001-04-01,-1.64,-2.01,2.33,-2.13,5.59,-0.08,16.53,5.2,1.61,7.18,4.38,0.08,4.8,6.08,4.7,5.28,1.55,7.7,13.33,-1.94,15.25,10.74,7.39,11.46,22.01,-0.31,14.89,3.98,8.44,10.07,5.53,2.7,3.87,8.05,12.52,21.53,18.45,17.91,5.55,6.68,3.77,8.12,4.98,6.78,2.8,2.81,3.93,12.91,13.41
2001-05-01,7.53,2.81,-0.26,4.66,2.27,9.51,10.1,3.05,5.47,3.95,1.98,2.64,2.88,1.19,-0.76,2.48,3.4,-1.9,0.2,-1.71,-0.33,3.99,-3.28,2.59,0.79,7.93,9.32,11.98,-13.58,0.17,0.24,-1.38,10.6,4.45,-3.71,0.29,-9.15,-1.43,1.56,4.44,4.89,-0.33,1.67,4.23,4.42,2.13,4.45,3.72,1.12
2001-06-01,3.51,-0.41,-5.34,-4.91,-0.57,2.69,-5.99,0.33,0.74,-1.84,15.0,2.65,-4.92,-2.83,0.94,4.34,0.59,-1.93,-7.3,7.56,-4.6,-7.83,4.57,-15.49,-0.01,-2.97,1.33,-6.1,-16.55,-7.49,-6.05,-3.11,8.38,-1.85,-2.38,4.93,-0.43,-4.8,-4.67,-1.27,-3.39,-2.03,-2.62,-3.78,0.82,1.99,3.12,-2.51,-0.75
2001-07-01,-0.24,4.24,-0.97,0.79,-9.19,-3.18,-8.29,-0.55,4.65,0.09,2.4,1.48,2.41,-2.94,-7.09,10.05,-0.22,1.31,-2.19,-2.54,-2.42,-5.05,3.75,3.26,4.2,6.93,-0.73,-9.0,-16.49,-2.12,-3.83,-0.56,3.64,-3.58,-8.03,-11.4,-1.35,-4.16,5.27,6.33,0.23,0.38,5.43,3.83,0.8,-1.93,0.04,-4.16,-9.6
2001-08-01,5.72,2.95,4.28,6.13,4.67,1.53,-1.53,-4.83,1.08,-4.51,-1.88,-1.47,-3.39,-1.21,3.45,-3.6,2.19,-7.29,-6.18,-5.81,-5.36,-2.6,-14.12,-6.32,-1.26,1.08,8.95,-1.07,6.71,-3.59,0.52,-9.3,-2.91,-4.69,-16.39,-15.11,-8.39,-5.84,-1.6,-0.83,-4.78,-4.54,-8.39,1.14,-6.05,-3.39,0.21,-6.94,-5.72
2001-09-01,-8.56,-0.46,1.42,-3.2,2.92,-17.53,-17.61,-8.13,-5.01,-17.74,-1.26,-1.48,-0.43,-9.52,-8.4,-16.97,-12.64,-17.32,-22.05,-17.88,-19.9,-13.39,-17.88,-29.19,8.03,10.36,13.35,-10.47,-15.69,-5.55,-6.58,-1.97,-6.65,-12.29,-25.02,-13.69,-25.09,-18.06,-8.47,-12.47,-17.81,-8.59,-9.76,-13.47,-6.02,-0.41,-6.78,-14.89,-12.32
2001-10-01,-1.3,1.58,6.56,1.36,-2.82,14.76,4.67,0.03,1.22,7.59,-7.44,-1.29,2.22,3.61,10.97,5.06,5.0,4.92,2.43,4.42,10.64,2.35,-2.26,6.41,-4.71,10.52,-5.28,-3.07,30.0,4.53,1.87,-9.67,-2.96,5.98,25.39,12.47,17.49,12.14,0.52,6.54,5.15,-7.2,3.42,2.86,-1.72,-2.86,1.69,2.47,-1.76
2001-11-01,6.26,1.11,-4.24,-0.04,1.19,5.11,14.5,9.59,6.06,9.84,1.84,8.81,4.76,11.1,-0.82,7.88,7.13,10.69,15.75,5.16,7.94,9.89,17.85,9.32,1.46,-4.62,-7.97,11.74,-14.02,-3.99,-1.54,5.8,6.56,9.31,23.5,12.11,19.69,11.14,9.63,8.18,12.01,-3.57,13.06,5.91,6.28,5.35,5.17,12.91,6.57
2001-12-01,5.85,2.16,7.46,1.61,-1.72,0.64,7.96,3.69,1.83,7.02,1.79,4.65,-4.12,-1.37,6.38,12.18,6.4,13.31,-2.62,4.47,6.65,5.21,-3.87,6.93,-2.63,0.58,-2.44,5.51,10.21,5.91,4.04,2.54,6.06,6.5,-6.98,2.67,-4.08,6.62,1.94,8.25,3.1,1.0,4.96,4.14,3.34,1.51,7.79,5.61,4.51
2002-01-01,-1.2,2.1,-8.58,-3.76,8.44,6.01,5.43,0.39,2.67,5.42,0.95,-1.46,-2.78,-1.73,0.41,4.53,1.49,2.31,-0.25,-5.53,2.31,1.31,3.27,4.47,11.33,12.69,14.2,-2.77,-9.45,-2.81,-4.34,-6.94,2.73,-2.65,5.65,-4.52,3.39,-4.01,-0.69,8.39,6.86,3.41,2.1,6.32,-0.56,-1.77,1.51,-3.83,-7.7
2002-02-01,-1.06,0.88,8.13,8.17,5.04,-1.56,2.41,7.58,2.67,-0.73,-5.13,-4.81,0.52,4.78,7.92,5.48,4.72,5.49,0.02,5.74,3.91,-0.36,5.77,9.5,1.15,6.35,11.3,2.01,-1.23,5.52,-0.37,-2.21,3.54,-0.49,-20.97,-9.97,-16.33,-0.85,5.13,6.74,1.79,-2.64,0.33,-1.33,-1.38,1.42,1.12,-5.21,2.14
2002-03-01,5.41,1.19,6.04,8.32,1.59,8.52,9.01,4.81,4.5,4.78,13.05,3.89,-0.79,5.13,9.84,0.72,1.98,0.89,6.04,12.47,9.87,5.44,7.83,3.02,3.88,3.4,15.14,4.66,14.89,7.62,10.28,0.12,1.95,8.6,9.53,2.71,10.06,7.74,1.11,11.14,2.98,5.28,1.53,5.46,7.97,1.09,2.23,9.86,-1.1
2002-04-01,4.77,0.95,7.19,5.04,3.29,2.23,4.71,-2.58,0.09,2.89,8.58,-2.93,-9.46,-4.84,0.52,9.38,2.51,8.28,-7.11,4.83,-2.67,-1.14,1.57,-4.48,3.61,8.63,4.1,-2.29,-6.45,-4.54,-0.41,-12.96,-1.66,-5.68,-8.38,-16.01,-8.08,-10.43,2.54,0.98,-6.08,-0.6,-2.22,3.99,-0.63,2.55,2.7,-10.8,-14.06
2002-05-01,3.35,1.33,11.46,-0.5,4.52,-2.72,-4.68,-0.09,-0.19,-1.6,-0.56,0.66,-2.89,2.08,2.99,0.28,-0.27,-4.82,0.28,-9.15,-4.31,2.42,0.86,0.22,2.12,-1.15,11.09,5.27,5.57,-0.82,-6.91,3.2,-0.72,-1.86,-0.53,-5.17,-3.61,-6.21,0.72,-3.57,-0.11,-5.14,-1.26,-0.02,0.85,-1.71,-1.36,-1.3,-1.43
2002-06-01,-5.36,-2.8,-3.03,-0.25,-22.05,-3.74,-8.48,-4.1,-2.94,-1.63,-4.81,-8.81,-10.29,-0.97,0.33,-5.19,-3.55,2.13,-5.3,2.19,-7.68,-7.31,-9.44,-1.39,5.66,9.7,-14.38,-6.73,-6.13,-0.01,-5.8,-14.02,1.3,-12.08,-11.39,-4.43,-24.2,-9.89,-2.38,-4.69,-0.89,-6.08,-5.12,-4.3,-5.32,-3.7,-2.84,-5.02,-6.02
2002-07-01,-8.01,-8.77,-15.56,-7.29,4.05,-10.85,-15.47,-5.24,-2.45,-10.02,-8.23,-5.58,-1.42,-9.25,-15.72,-22.86,-7.86,-17.91,-20.38,-22.18,-14.21,-8.79,-12.89,-5.14,-22.45,-7.55,-8.39,-10.91,-30.2,-11.65,-12.13,-11.79,-6.15,-11.83,-6.8,-10.62,-9.32,-14.3,-5.64,-12.82,-8.46,-10.56,-11.99,-9.42,-7.35,-5.42,-7.48,-10.03,7.1
2002-08-01,-5.52,-1.81,10.97,2.39,8.93,4.34,5.14,3.79,1.76,-1.1,-3.84,1.17,0.99,1.86,7.55,-2.45,-2.84,0.63,-4.88,3.29,-0.88,-0.56,-1.67,-10.88,-2.66,-0.14,17.31,-0.13,9.83,0.58,3.41,0.14,3.82,-0.2,0.66,2.15,-6.36,-6.4,-1.3,4.98,-2.03,4.54,1.92,-3.92,3.26,-0.38,2.11,4.44,-4.69
2002-09-01,-2.51,-4.12,-5.92,-5.54,-21.26,-10.74,-4.1,-3.47,-2.56,-6.06,2.13,-2.23,-7.28,-11.13,-10.34,-6.58,-10.58,-7.68,-18.47,-13.15,-9.9,-9.04,-13.47,-11.91,2.9,1.83,-3.82,-11.75,-8.14,-8.11,-10.84,-9.63,-2.82,-10.42,-19.1,-16.15,-17.7,-9.35,-10.8,-4.26,-6.38,-6.35,-9.49,-13.63,-11.04,-7.99,-3.96,-14.21,-16.29
2002-10-01,-3.09,8.04,12.7,-0.43,4.91,1.65,13.0,6.56,3.15,9.65,-14.57,2.55,8.37,5.64,-0.76,3.93,3.39,2.69,6.42,-9.79,10.22,5.63,-9.45,0.38,-2.13,-10.7,-9.9,-7.96,4.16,3.18,-0.62,22.11,-1.05,7.69,17.76,23.89,15.66,8.05,4.36,1.44,4.51,5.41,6.48,-0.36,8.06,4.89,-1.12,10.42,2.52
2002-11-01,9.41,0.17,-2.88,-3.07,-6.58,11.74,9.09,-1.57,-1.94,5.28,-10.47,4.49,4.85,9.45,2.26,12.06,5.68,2.92,18.18,8.93,12.14,11.61,17.7,7.86,3.79,-8.9,-4.83,13.68,10.31,2.95,1.57,11.76,-2.06,6.88,21.07,12.22,22.88,16.42,7.55,10.28,3.65,-3.34,2.91,5.64,2.38,1.64,2.29,13.56,7.62
2002-12-01,-1.95,0.56,-4.23,-3.19,8.97,-6.59,-14.42,-1.24,-0.03,-4.86,-1.64,-0.25,-4.9,-4.27,-2.19,-4.91,-1.64,-3.05,-10.27,-4.1,-9.27,-3.74,-8.93,-2.84,-2.67,9.91,24.33,1.25,12.11,0.74,3.84,-9.44,1.72,-3.5,-11.84,-10.52,-20.48,-9.27,-5.35,-3.22,-1.0,-2.66,-8.01,-5.63,-3.37,-3.76,2.14,-10.91,-8.61
2003-01-01,-1.65,-4.22,-0.13,-5.84,-6.25,1.73,-10.05,1.3,-2.66,-4.37,0.5,-0.72,-0.67,-5.91,-6.74,-4.8,-5.58,2.58,-4.76,0.13,-5.91,-4.98,-2.58,-0.9,-15.45,-11.5,-0.82,-1.32,-14.24,-2.38,-3.27,-4.0,-1.7,-3.92,-0.01,-1.44,-1.11,-5.31,-0.8,-8.82,-5.13,-2.29,-5.11,-5.93,-0.53,-3.19,-2.15,-3.42,-4.4
2003-02-01,-5.25,-4.72,-8.01,-0.81,1.24,2.57,-3.27,-4.52,-2.76,-3.1,-3.57,2.56,-2.65,-4.16,-0.62,-4.16,0.2,0.05,2.25,-2.77,1.9,-0.35,-6.28,-8.37,-9.83,-10.14,-5.88,-7.63,14.54,1.83,-3.97,-6.61,-0.71,-4.75,2.78,-0.53,4.5,-0.4,-1.36,-3.82,-3.42,-3.46,-0.53,-4.83,-2.1,-6.23,-0.44,-1.66,2.73
2003-03-01,4.65,0.94,-12.59,1.03,-19.67,3.65,-0.37,-2.17,6.47,5.69,2.14,-1.36,4.88,3.44,1.19,-1.47,0.32,2.62,-3.25,-4.19,-1.8,-3.57,-3.83,-5.42,-5.71,4.5,-4.54,-1.16,-3.5,1.54,4.31,-0.66,5.27,1.95,-2.82,0.4,-2.16,-1.06,0.56,2.71,4.33,-0.5,5.47,5.18,-0.99,2.26,1.99,1.52,5.29
2003-04-01,-1.45,4.06,7.64,2.18,2.74,4.33,17.31,8.15,3.42,7.54,-7.71,5.31,5.11,9.94,8.55,12.71,5.42,13.64,10.22,9.32,8.72,10.72,18.94,8.61,11.7,4.94,3.51,8.54,2.28,-0.5,7.31,11.5,7.43,7.97,11.21,8.03,10.08,10.58,3.25,2.2,10.76,6.17,9.72,9.51,11.2,10.51,6.38,12.79,14.63
2003-05-01,12.27,5.53,-1.68,10.21,32.46,2.45,7.78,6.0,2.87,4.01,9.71,6.19,3.14,0.82,-0.59,3.86,8.05,16.66,13.13,4.1,6.21,6.81,3.77,12.01,7.72,-6.65,9.67,13.98,25.44,8.48,10.12,6.29,4.37,7.94,13.48,5.51,14.43,11.83,2.78,2.17,4.68,6.89,2.54,8.41,5.8,3.98,9.04,8.93,-0.61
2003-06-01,-0.27,0.92,-2.38,0.82,10.9,-2.51,6.56,-1.72,-2.57,-0.4,-3.81,3.02,4.92,-1.15,1.06,-2.39,-0.72,1.76,2.15,-1.47,2.56,-0.14,3.27,6.12,8.02,2.59,9.32,4.62,0.71,-0.99,0.74,1.91,5.09,1.42,2.31,0.49,-1.98,2.1,0.85,4.55,0.0,4.32,2.79,6.74,0.96,-0.39,2.04,1.62,0.67
2003-07-01,2.14,0.19,1.14,-1.84,-11.3,4.28,-1.45,-1.39,0.76,3.68,10.49,5.49,-1.01,7.89,-4.37,13.66,2.29,-2.6,6.92,6.6,10.07,7.44,6.14,3.17,10.56,9.66,12.42,10.03,-12.55,-2.52,-5.15,-1.93,7.54,3.48,6.45,2.36,10.7,7.93,5.24,-0.44,1.67,-0.98,4.3,2.32,3.63,4.85,2.8,7.22,-0.24
2003-08-01,2.73,-0.53,7.95,-2.05,2.53,3.37,4.8,0.77,1.18,5.0,4.12,-0.64,-3.69,1.69,2.51,6.34,5.06,6.91,4.62,4.13,7.7,6.63,8.49,7.84,8.7,-2.15,10.23,7.48,7.5,6.17,1.92,1.16,2.82,3.41,1.12,3.63,14.42,7.35,3.73,3.41,1.46,3.14,7.94,0.82,-0.36,-1.65,3.17,1.43,4.07
2003-09-01,0.83,2.13,-3.47,-1.55,8.1,-0.83,-3.3,-0.16,2.17,-1.34,-1.17,-0.03,0.46,-6.02,-8.24,-3.13,-2.03,3.75,-3.16,-3.19,-7.94,-5.93,-5.04,-6.52,-8.14,-9.38,-1.38,2.45,-2.34,-2.18,3.85,-5.64,0.01,-2.75,-0.22,1.64,-4.12,-4.56,-2.18,-1.7,-1.42,0.48,-5.82,1.99,1.22,-0.71,1.56,0.47,0.81
2003-10-01,11.24,3.86,6.09,5.71,6.13,12.1,3.25,7.73,4.38,12.23,5.71,3.51,0.01,6.62,6.19,3.4,7.41,16.55,19.21,2.36,12.96,9.89,9.0,12.0,6.36,1.61,12.02,15.34,9.76,1.56,1.51,6.81,3.68,5.07,10.07,3.08,16.16,10.18,8.2,4.63,9.27,4.63,9.87,6.93,7.53,4.86,4.68,9.35,-1.32
2003-11-01,6.03,2.27,3.21,2.35,11.59,1.63,5.79,1.79,-0.89,3.47,7.28,3.5,1.08,2.87,0.44,-0.82,2.76,5.99,3.56,4.71,3.98,7.39,3.79,0.09,-2.45,-0.32,11.74,7.51,1.59,0.64,0.95,-0.68,7.66,2.42,1.9,-0.06,3.74,3.89,1.09,-0.62,-1.19,4.28,-0.47,3.92,0.87,1.74,3.82,-0.53,0.03
2003-12-01,4.78,1.28,5.83,6.64,5.67,-0.21,7.05,2.93,2.26,0.89,1.16,4.56,6.23,9.56,4.01,1.09,7.23,-0.04,10.65,6.97,3.44,5.49,15.47,10.7,12.13,11.74,1.85,5.49,26.47,13.46,5.85,7.64,-3.18,4.41,2.4,4.59,-1.77,3.15,8.82,10.59,1.38,3.3,-3.22,-0.41,3.3,5.89,2.64,4.23,8.16
2004-01-01,-2.9,1.04,5.61,-2.89,2.05,-0.07,0.26,0.92,2.15,-2.01,4.6,6.36,2.3,-1.94,4.58,1.29,-0.78,-4.77,0.05,3.51,-1.62,-0.41,-3.31,2.57,1.59,-4.45,-13.71,-5.18,-7.38,0.31,1.91,1.4,9.8,1.77,4.9,4.16,4.36,9.23,-3.59,-1.12,-3.99,2.95,-0.21,0.6,2.62,4.89,6.32,3.66,6.88
2004-02-01,2.18,6.37,5.76,2.57,3.82,3.73,1.03,1.05,2.97,5.51,-2.95,-0.26,1.46,2.66,3.05,10.57,4.79,10.61,6.35,10.48,0.29,-2.61,-1.43,-0.84,-0.04,-3.19,5.45,6.95,7.11,4.51,2.11,-0.49,-2.82,-1.05,-4.54,-3.63,-1.13,-4.03,3.27,6.54,0.22,2.29,6.74,7.23,2.17,4.36,2.33,2.96,-2.1
2004-03-01,4.28,1.4,4.04,-0.2,-4.03,-3.06,2.2,-0.14,1.52,3.06,-2.97,0.97,-5.04,-1.66,-4.55,-2.18,2.68,4.96,-4.51,1.61,1.14,-0.45,-1.91,-4.98,-3.31,-0.68,7.0,-2.6,6.95,-0.06,1.14,-2.06,5.67,1.58,0.08,-2.9,-4.59,-0.91,0.71,-0.09,-0.45,2.13,-0.13,0.8,-0.38,-0.69,1.49,-2.28,-5.01
2004-04-01,0.26,3.05,4.73,0.38,1.9,-6.25,-1.68,-0.08,2.2,-1.57,1.38,2.74,3.85,-0.63,-0.43,-3.71,-0.52,-11.25,-8.7,-0.4,-2.61,-1.79,3.51,1.86,6.04,3.91,-21.1,-12.79,2.92,2.66,-3.56,-0.48,0.6,0.91,-8.92,-1.3,-7.87,-5.83,1.54,-2.37,0.18,0.91,-3.21,-0.99,-5.55,-0.63,-6.86,-8.15,-1.83
2004-05-01,1.22,-1.72,2.13,2.26,-12.61,2.94,0.59,0.4,1.54,0.42,-0.95,-0.23,-0.41,0.6,1.12,-4.6,2.65,1.25,5.85,1.14,2.17,1.08,-2.94,0.77,1.66,3.83,6.43,3.25,6.63,0.52,1.25,-2.95,1.27,0.53,5.02,2.73,8.75,3.79,0.28,4.98,1.99,0.18,0.74,-3.01,2.54,0.09,2.47,0.57,3.52
2004-06-01,3.59,2.11,4.62,-0.24,6.02,3.32,3.51,-2.58,2.2,4.34,3.63,3.12,-1.62,5.43,4.16,2.79,2.46,-0.03,9.36,10.81,5.9,6.73,5.26,9.74,4.8,5.76,-3.12,4.39,13.81,5.34,2.03,0.82,-4.73,0.99,3.79,4.67,-1.21,6.37,5.02,6.72,6.34,2.7,-0.32,-0.59,0.71,0.55,3.43,-0.47,4.98
2004-07-01,-4.95,-3.93,-20.4,-10.04,-3.76,-5.63,-6.73,-4.38,-5.19,-5.21,-6.15,-6.95,-5.66,-3.31,-7.32,-1.78,-4.59,-1.85,-0.19,-6.63,-6.19,-8.84,-3.66,1.21,-0.75,-0.44,2.89,2.45,-1.5,3.41,1.06,-1.02,-7.83,-4.42,-7.54,-6.75,-11.94,-11.34,-5.51,-2.92,-4.54,-11.35,-3.47,2.61,-1.12,-3.15,0.88,-6.43,0.53
2004-08-01,1.9,-0.12,0.1,1.88,3.19,1.27,-1.67,0.28,4.67,0.0,0.04,-0.98,2.38,3.0,1.28,1.21,4.04,3.93,-0.27,3.74,-2.54,0.55,-3.39,0.38,-1.8,0.28,9.47,3.7,-5.01,-1.34,3.66,1.17,-4.01,-3.15,-5.5,-2.68,-6.65,-4.81,0.14,0.1,-0.87,-2.48,-0.81,-2.58,4.04,0.95,6.66,3.2,-0.95
2004-09-01,2.98,-0.67,-4.06,-7.93,-2.48,8.14,4.07,1.1,-2.88,2.77,1.25,6.22,-3.34,4.34,-1.54,3.52,2.95,8.1,7.86,2.57,6.1,2.15,2.09,-0.22,5.26,4.72,4.55,7.42,8.78,8.84,1.38,1.41,1.01,3.95,1.97,4.65,2.62,3.07,-0.31,3.83,3.06,-0.03,2.89,4.82,-0.66,1.33,2.13,1.45,1.93
2004-10-01,2.48,3.42,6.83,1.08,2.84,0.28,3.1,2.55,-3.59,5.07,-0.3,-2.55,-2.58,0.46,3.67,6.33,0.67,0.96,-3.62,3.98,-1.08,2.86,-4.31,-2.9,0.73,-1.34,3.63,-7.34,-0.12,0.65,4.24,3.46,-2.04,1.81,4.64,5.27,6.17,5.7,-3.93,3.42,6.93,2.72,3.31,2.96,2.31,-5.03,3.9,4.82,0.67
2004-11-01,0.5,3.6,0.95,-0.69,17.41,6.63,6.99,1.88,4.06,4.03,8.39,1.3,-0.1,8.75,8.24,5.04,6.29,7.43,12.97,9.29,7.69,8.24,8.08,6.66,7.44,12.35,-0.62,8.03,25.65,6.29,4.89,3.61,11.31,4.78,7.36,6.69,3.7,3.83,5.4,10.53,5.68,8.39,2.47,7.42,2.98,8.1,6.06,5.7,3.06
2004-12-01,4.35,5.44,-0.73,4.37,7.48,4.82,8.27,1.21,4.12,5.63,4.28,4.78,6.0,2.81,3.85,4.23,2.9,10.73,-1.72,8.36,3.04,4.23,5.01,1.08,-2.76,-6.74,-6.81,2.07,-3.02,-2.32,2.49,4.29,3.05,3.12,4.13,3.2,2.21,3.08,3.52,4.3,4.18,5.95,3.06,5.12,3.52,4.91,13.15,5.55,4.28
